period,l.r.t,study,loc,block,border,row,tree,fam,geno,herb,flag,leaf,bud2-16,score
1,10131,2,1,1,1,1,31,AGHS4,2,2,Yellow,,0,2
1,10132,2,1,1,0,1,32,AGHS4,2,2,Yellow,,0,2
1,10133,2,1,1,0,1,33,AGHS4,2,2,Yellow,,0,2
1,10134,2,1,1,0,1,34,AGHS4,2,2,Yellow,,0,2
1,10135,2,1,1,0,1,35,AGHS4,2,2,Yellow,,0,2
1,10136,2,1,1,0,1,36,AGHS4,2,2,Yellow,,0,2
1,10137,2,1,1,0,1,37,AGHS4,2,2,Yellow,,0,2
1,10138,2,1,1,1,1,38,AGHS4,2,2,Yellow,,0,2
1,10139,2,1,1,1,1,39,AGHS8,7,2,White,,0,2
1,10140,2,1,1,0,1,40,AGHS8,7,2,White,,0,2
1,10141,2,1,1,0,1,41,AGHS8,7,2,White,,0,2
1,10142,2,1,1,0,1,42,AGHS8,7,2,White,,0,2
1,10143,2,1,1,0,1,43,AGHS8,7,2,White,,0,2
1,10144,2,1,1,0,1,44,AGHS8,7,2,White,,2,2
1,10145,2,1,1,0,1,45,AGHS8,7,2,White,,0,2
1,10146,2,1,1,1,1,46,AGHS8,7,2,White,,0,2
1,10147,2,1,1,1,1,47,AGHS3,1,2,Orange,,0,5
1,10148,2,1,1,0,1,48,AGHS3,1,2,Orange,,2,2
1,10149,2,1,1,0,1,49,AGHS3,1,2,Orange,,2,4
1,10150,2,1,1,0,1,50,AGHS3,1,2,Orange,,2,4
1,10151,2,1,1,0,1,51,AGHS3,1,2,Orange,,0,4
1,10152,2,1,1,0,1,52,AGHS3,1,2,Orange,,0,2
1,10153,2,1,1,0,1,53,AGHS3,1,2,Orange,,1,2
1,10154,2,1,1,1,1,54,AGHS3,1,2,Orange,,0,2
1,10155,2,1,1,1,1,55,AGHS1,6,2,Blue,,3,2
1,10156,2,1,1,0,1,56,AGHS1,6,2,Blue,,3,2
1,10157,2,1,1,0,1,57,AGHS1,6,2,Blue,,3,2
1,10158,2,1,1,0,1,58,AGHS1,6,2,Blue,,2,2
1,10159,2,1,1,0,1,59,AGHS1,6,2,Blue,,3,10
1,10160,2,1,1,0,1,60,AGHS1,6,2,Blue,,3,5
1,10161,2,1,1,0,1,61,AGHS1,6,2,Blue,,3,5
1,10162,2,1,1,1,1,62,AGHS1,6,2,Blue,,2,2
1,10163,2,1,1,1,1,63,AGHS2,5,2,Pink,,0,2
1,10164,2,1,1,0,1,64,AGHS2,5,2,Pink,,0,2
1,10165,2,1,1,0,1,65,AGHS2,5,2,Pink,,0,2
1,10166,2,1,1,0,1,66,AGHS2,5,2,Pink,,0,2
1,10167,2,1,1,0,1,67,AGHS2,5,2,Pink,,3,2
1,10168,2,1,1,0,1,68,AGHS2,5,2,Pink,,1,2
1,10169,2,1,1,0,1,69,AGHS2,5,2,Pink,,2,2
1,10170,2,1,1,1,1,70,AGHS2,5,2,Pink,,1,2
1,10231,2,1,1,1,2,31,AGHS2,5,0,Pink,,1,2
1,10232,2,1,1,0,2,32,AGHS2,5,0,Pink,,1,2
1,10233,2,1,1,0,2,33,AGHS2,5,0,Pink,,1,2
1,10234,2,1,1,0,2,34,AGHS2,5,0,Pink,,0,2
1,10235,2,1,1,0,2,35,AGHS2,5,0,Pink,,0,2
1,10236,2,1,1,0,2,36,AGHS2,5,0,Pink,,0,2
1,10237,2,1,1,0,2,37,AGHS2,5,0,Pink,,1,2
1,10238,2,1,1,1,2,38,AGHS2,5,0,Pink,,2,2
1,10239,2,1,1,1,2,39,AGHS1,6,0,Blue,,2,10
1,10240,2,1,1,0,2,40,AGHS1,6,0,Blue,,1,2
1,10241,2,1,1,0,2,41,AGHS1,6,0,Blue,,3,2
1,10242,2,1,1,0,2,42,AGHS1,6,0,Blue,,3,2
1,10243,2,1,1,0,2,43,AGHS1,6,0,Blue,,2,2
1,10244,2,1,1,0,2,44,AGHS1,6,0,Blue,,2,5
1,10245,2,1,1,0,2,45,AGHS1,6,0,Blue,,3,2
1,10246,2,1,1,1,2,46,AGHS1,6,0,Blue,,3,2
1,10247,2,1,1,1,2,47,AGHS8,7,0,White,,0,2
1,10248,2,1,1,0,2,48,AGHS8,7,0,White,,0,2
1,10249,2,1,1,0,2,49,AGHS8,7,0,White,,0,2
1,10250,2,1,1,0,2,50,AGHS8,7,0,White,,0,2
1,10251,2,1,1,0,2,51,AGHS8,7,0,White,,0,2
1,10252,2,1,1,0,2,52,AGHS8,7,0,White,,0,2
1,10253,2,1,1,0,2,53,AGHS8,7,0,White,,0,2
1,10254,2,1,1,1,2,54,AGHS8,7,0,White,,0,2
1,10255,2,1,1,1,2,55,AGHS4,2,0,Yellow,,0,2
1,10256,2,1,1,0,2,56,AGHS4,2,0,Yellow,,0,2
1,10257,2,1,1,0,2,57,AGHS4,2,0,Yellow,,0,2
1,10258,2,1,1,0,2,58,AGHS4,2,0,Yellow,,1,2
1,10259,2,1,1,0,2,59,AGHS4,2,0,Yellow,,0,2
1,10260,2,1,1,0,2,60,AGHS4,2,0,Yellow,,0,2
1,10261,2,1,1,0,2,61,AGHS4,2,0,Yellow,,0,2
1,10262,2,1,1,1,2,62,AGHS4,2,0,Yellow,,0,2
1,10263,2,1,1,1,2,63,AGHS3,1,0,Orange,,0,2
1,10264,2,1,1,0,2,64,AGHS3,1,0,Orange,,1,2
1,10265,2,1,1,0,2,65,AGHS3,1,0,Orange,,0,5
1,10266,2,1,1,0,2,66,AGHS3,1,0,Orange,,0,2
1,10267,2,1,1,0,2,67,AGHS3,1,0,Orange,,0,2
1,10268,2,1,1,0,2,68,AGHS3,1,0,Orange,,0,2
1,10269,2,1,1,0,2,69,AGHS3,1,0,Orange,,0,2
1,10270,2,1,1,1,2,70,AGHS3,1,0,Orange,,0,2
1,10331,2,1,1,1,3,31,AGHS3,1,3,Orange,,0,2
1,10332,2,1,1,0,3,32,AGHS3,1,3,Orange,,0,2
1,10333,2,1,1,0,3,33,AGHS3,1,3,Orange,,0,2
1,10334,2,1,1,0,3,34,AGHS3,1,3,Orange,,0,5
1,10335,2,1,1,0,3,35,AGHS3,1,3,Orange,,2,5
1,10336,2,1,1,0,3,36,AGHS3,1,3,Orange,,2,2
1,10337,2,1,1,0,3,37,AGHS3,1,3,Orange,,2,5
1,10338,2,1,1,1,3,38,AGHS3,1,3,Orange,,0,2
1,10339,2,1,1,1,3,39,AGHS4,2,3,Yellow,,1,2
1,10340,2,1,1,0,3,40,AGHS4,2,3,Yellow,,0,2
1,10341,2,1,1,0,3,41,AGHS4,2,3,Yellow,,0,2
1,10342,2,1,1,0,3,42,AGHS4,2,3,Yellow,,0,2
1,10343,2,1,1,0,3,43,AGHS4,2,3,Yellow,,0,2
1,10344,2,1,1,0,3,44,AGHS4,2,3,Yellow,,0,2
1,10345,2,1,1,0,3,45,AGHS4,2,3,Yellow,,1,2
1,10346,2,1,1,1,3,46,AGHS4,2,3,Yellow,,1,2
1,10347,2,1,1,1,3,47,AGHS2,5,3,Pink,,1,2
1,10348,2,1,1,0,3,48,AGHS2,5,3,Pink,,2,2
1,10349,2,1,1,0,3,49,AGHS2,5,3,Pink,,2,2
1,10350,2,1,1,0,3,50,AGHS2,5,3,Pink,,0,2
1,10351,2,1,1,0,3,51,AGHS2,5,3,Pink,,3,2
1,10352,2,1,1,0,3,52,AGHS2,5,3,Pink,,3,10
1,10353,2,1,1,0,3,53,AGHS2,5,3,Pink,,1,2
1,10354,2,1,1,1,3,54,AGHS2,5,3,Pink,,1,2
1,10355,2,1,1,1,3,55,AGHS1,6,3,Blue,,2,2
1,10356,2,1,1,0,3,56,AGHS1,6,3,Blue,,3,5
1,10357,2,1,1,0,3,57,AGHS1,6,3,Blue,,1,2
1,10358,2,1,1,0,3,58,AGHS1,6,3,Blue,,3,2
1,10359,2,1,1,0,3,59,AGHS1,6,3,Blue,,3,5
1,10360,2,1,1,0,3,60,AGHS1,6,3,Blue,,2,2
1,10361,2,1,1,0,3,61,AGHS1,6,3,Blue,,0,2
1,10362,2,1,1,1,3,62,AGHS1,6,3,Blue,,3,2
1,10363,2,1,1,1,3,63,AGHS8,7,3,White,,0,2
1,10364,2,1,1,0,3,64,AGHS8,7,3,White,,0,2
1,10365,2,1,1,0,3,65,AGHS8,7,3,White,,0,2
1,10366,2,1,1,0,3,66,AGHS8,7,3,White,,0,2
1,10367,2,1,1,0,3,67,AGHS8,7,3,White,,0,2
1,10368,2,1,1,0,3,68,AGHS8,7,3,White,,0,2
1,10369,2,1,1,0,3,69,AGHS8,7,3,White,,0,2
1,10370,2,1,1,1,3,70,AGHS8,7,3,White,,0,2
1,10431,2,1,1,1,4,31,AGHS1,6,1,Blue,,1,2
1,10432,2,1,1,0,4,32,AGHS1,6,1,Blue,,0,2
1,10433,2,1,1,0,4,33,AGHS1,6,1,Blue,,2,2
1,10434,2,1,1,0,4,34,AGHS1,6,1,Blue,,1,10
1,10435,2,1,1,0,4,35,AGHS1,6,1,Blue,,0,2
1,10436,2,1,1,0,4,36,AGHS1,6,1,Blue,,3,2
1,10437,2,1,1,0,4,37,AGHS1,6,1,Blue,,1,2
1,10438,2,1,1,1,4,38,AGHS1,6,1,Blue,,0,10
1,10439,2,1,1,1,4,39,AGHS2,5,1,Pink,,0,2
1,10440,2,1,1,0,4,40,AGHS2,5,1,Pink,,1,2
1,10441,2,1,1,0,4,41,AGHS2,5,1,Pink,,1,2
1,10442,2,1,1,0,4,42,AGHS2,5,1,Pink,,0,2
1,10443,2,1,1,0,4,43,AGHS2,5,1,Pink,,0,2
1,10444,2,1,1,0,4,44,AGHS2,5,1,Pink,,0,2
1,10445,2,1,1,0,4,45,AGHS2,5,1,Pink,,0,2
1,10446,2,1,1,1,4,46,AGHS2,5,1,Pink,,0,2
1,10447,2,1,1,1,4,47,AGHS8,7,1,White,,0,4
1,10448,2,1,1,0,4,48,AGHS8,7,1,White,,0,2
1,10449,2,1,1,0,4,49,AGHS8,7,1,White,,1,2
1,10450,2,1,1,0,4,50,AGHS8,7,1,White,,0,2
1,10451,2,1,1,0,4,51,AGHS8,7,1,White,,0,2
1,10452,2,1,1,0,4,52,AGHS8,7,1,White,,0,2
1,10453,2,1,1,0,4,53,AGHS8,7,1,White,,0,2
1,10454,2,1,1,1,4,54,AGHS8,7,1,White,,0,2
1,10455,2,1,1,1,4,55,AGHS3,1,1,Orange,,1,2
1,10456,2,1,1,0,4,56,AGHS3,1,1,Orange,,0,2
1,10457,2,1,1,0,4,57,AGHS3,1,1,Orange,,0,10
1,10458,2,1,1,0,4,58,AGHS3,1,1,Orange,,0,2
1,10459,2,1,1,0,4,59,AGHS3,1,1,Orange,,0,5
1,10460,2,1,1,0,4,60,AGHS3,1,1,Orange,,0,2
1,10461,2,1,1,0,4,61,AGHS3,1,1,Orange,,0,10
1,10462,2,1,1,1,4,62,AGHS3,1,1,Orange,,0,2
1,10463,2,1,1,1,4,63,AGHS4,2,1,Yellow,,0,2
1,10464,2,1,1,0,4,64,AGHS4,2,1,Yellow,,0,2
1,10465,2,1,1,0,4,65,AGHS4,2,1,Yellow,,0,2
1,10466,2,1,1,0,4,66,AGHS4,2,1,Yellow,,0,2
1,10467,2,1,1,0,4,67,AGHS4,2,1,Yellow,,0,2
1,10468,2,1,1,0,4,68,AGHS4,2,1,Yellow,,0,5
1,10469,2,1,1,0,4,69,AGHS4,2,1,Yellow,,0,2
