0,Year,ID,Study,Location,Block,Border,Row,Tree,Genotype,Herbicide,Score,Survival,WEED.1,WEED.COVER_1,WEED.T.1,Coppice,Height,GLD,DBH_old,DBH,Shoots,Crown,,,
1,0,10132,2,1,1,0,1,32,2,2,2,0,NA,NA,NA,non,0.441,0.41,,,,,,,
2,0,10133,2,1,1,0,1,33,2,2,2,0,NA,NA,NA,non,0.494,0.425,,,,,,,
3,0,10134,2,1,1,0,1,34,2,2,2,0,NA,90,NA,non,0.47,0.491,,,,,,,
4,0,10135,2,1,1,0,1,35,2,2,2,0,NA,NA,NA,cut,0.501,0.3,,,,,,,
5,0,10136,2,1,1,0,1,36,2,2,2,0,NA,NA,NA,cut,0.507,0.408,,,,,,,
6,0,10137,2,1,1,0,1,37,2,2,2,0,NA,75,NA,cut,0.544,0.347,,,,,,,
7,0,10140,2,1,1,0,1,40,7,2,2,0,NA,NA,NA,non,0.514,0.393,,,,,,,
8,0,10141,2,1,1,0,1,41,7,2,2,0,NA,NA,NA,non,0.356,0.257,,,,,,,
9,0,10142,2,1,1,0,1,42,7,2,2,0,NA,80,NA,non,0.507,0.375,,,,,,,
10,0,10143,2,1,1,0,1,43,7,2,2,0,NA,NA,NA,cut,0.454,0.381,,,,,,,
11,0,10144,2,1,1,0,1,44,7,2,2,0,NA,NA,NA,cut,0.346,0.399,,,,,,,
12,0,10145,2,1,1,0,1,45,7,2,2,0,NA,95,NA,cut,0.467,0.298,,,,,,,
13,0,10148,2,1,1,0,1,48,1,2,2,0,NA,NA,NA,non,0.623,0.49,,,,,,,
14,0,10149,2,1,1,0,1,49,1,2,4,0,NA,NA,NA,non,0.609,0.374,,,,,,,
15,0,10150,2,1,1,0,1,50,1,2,4,0,NA,60,NA,non,0.615,0.33,,,,,,,
16,0,10151,2,1,1,0,1,51,1,2,4,0,NA,NA,NA,cut,0.544,0.406,,,,,,,
17,0,10152,2,1,1,0,1,52,1,2,2,0,NA,NA,NA,non,0.614,0.389,,,,,,,
18,0,10153,2,1,1,0,1,53,1,2,2,0,NA,90,NA,non,0.652,0.39,,,,,,,
19,0,10156,2,1,1,0,1,56,6,2,2,0,NA,NA,NA,cut,0.486,0.273,,,,,,,
20,0,10157,2,1,1,0,1,57,6,2,2,0,NA,NA,NA,cut,0.362,0.416,,,,,,,
21,0,10158,2,1,1,0,1,58,6,2,2,0,NA,80,NA,non,0.504,0.46,,,,,,,
22,0,10159,2,1,1,0,1,59,6,2,10,0,NA,NA,NA,non,0.462,0.363,,,,,,,
23,0,10160,2,1,1,0,1,60,6,2,5,0,NA,NA,NA,non,0.464,0.419,,,,,,,
24,0,10161,2,1,1,0,1,61,6,2,5,0,NA,95,NA,non,0.43,0.353,,,,,,,
25,0,10164,2,1,1,0,1,64,5,2,2,0,NA,NA,NA,non,0.506,0.298,,,,,,,
26,0,10165,2,1,1,0,1,65,5,2,2,0,NA,NA,NA,non,0.528,0.295,,,,,,,
27,0,10166,2,1,1,0,1,66,5,2,2,0,NA,70,NA,non,0.422,0.266,,,,,,,
28,0,10167,2,1,1,0,1,67,5,2,2,0,NA,NA,NA,cut,0.454,0.457,,,,,,,
29,0,10168,2,1,1,0,1,68,5,2,2,0,NA,NA,NA,cut,0.499,0.304,,,,,,,
30,0,10169,2,1,1,0,1,69,5,2,2,0,NA,100,NA,cut,0.484,0.381,,,,,,,
31,0,10232,2,1,1,0,2,32,5,0,2,0,NA,NA,NA,non,0.607,0.388,,,,,,,
32,0,10233,2,1,1,0,2,33,5,0,2,0,NA,NA,NA,non,0.696,0.322,,,,,,,
33,0,10234,2,1,1,0,2,34,5,0,2,0,NA,70,NA,non,0.618,0.439,,,,,,,
34,0,10235,2,1,1,0,2,35,5,0,2,0,NA,NA,NA,cut,0.691,0.391,,,,,,,
35,0,10236,2,1,1,0,2,36,5,0,2,0,NA,NA,NA,cut,0.659,0.441,,,,,,,
36,0,10237,2,1,1,0,2,37,5,0,2,0,NA,100,NA,cut,0.539,0.434,,,,,,,
37,0,10240,2,1,1,0,2,40,6,0,2,0,NA,NA,NA,cut,0.431,0.331,,,,,,,
38,0,10241,2,1,1,0,2,41,6,0,2,0,NA,NA,NA,cut,0.543,0.338,,,,,,,
39,0,10242,2,1,1,0,2,42,6,0,2,0,NA,100,NA,cut,0.513,0.308,,,,,,,
40,0,10243,2,1,1,0,2,43,6,0,2,0,NA,NA,NA,non,0.581,0.397,,,,,,,
41,0,10244,2,1,1,0,2,44,6,0,5,0,NA,NA,NA,non,0.502,0.267,,,,,,,
42,0,10245,2,1,1,0,2,45,6,0,2,0,NA,100,NA,non,0.425,0.313,,,,,,,
43,0,10248,2,1,1,0,2,48,7,0,2,0,NA,NA,NA,cut,0.461,0.352,,,,,,,
44,0,10249,2,1,1,0,2,49,7,0,2,0,NA,NA,NA,cut,0.49,0.277,,,,,,,
45,0,10250,2,1,1,0,2,50,7,0,2,0,NA,100,NA,cut,0.495,0.448,,,,,,,
46,0,10251,2,1,1,0,2,51,7,0,2,0,NA,NA,NA,non,0.432,0.406,,,,,,,
47,0,10252,2,1,1,0,2,52,7,0,2,0,NA,NA,NA,non,0.449,0.374,,,,,,,
48,0,10253,2,1,1,0,2,53,7,0,2,0,NA,100,NA,non,0.466,0.325,,,,,,,
49,0,10256,2,1,1,0,2,56,2,0,2,0,NA,NA,NA,cut,0.374,0.341,,,,,,,
50,0,10257,2,1,1,0,2,57,2,0,2,0,NA,NA,NA,cut,0.531,0.334,,,,,,,
51,0,10258,2,1,1,0,2,58,2,0,2,0,NA,100,NA,cut,0.496,0.344,,,,,,,
52,0,10259,2,1,1,0,2,59,2,0,2,0,NA,NA,NA,non,0.493,0.418,,,,,,,
53,0,10260,2,1,1,0,2,60,2,0,2,0,NA,NA,NA,non,0.487,0.411,,,,,,,
54,0,10261,2,1,1,0,2,61,2,0,2,0,NA,100,NA,non,0.421,0.311,,,,,,,
55,0,10264,2,1,1,0,2,64,1,0,2,0,NA,NA,NA,cut,0.483,0.336,,,,,,,
56,0,10265,2,1,1,0,2,65,1,0,5,0,NA,NA,NA,non,0.614,0.414,,,,,,,
57,0,10266,2,1,1,0,2,66,1,0,2,0,NA,100,NA,cut,0.529,0.256,,,,,,,
58,0,10267,2,1,1,0,2,67,1,0,2,0,NA,NA,NA,non,0.484,0.361,,,,,,,
59,0,10268,2,1,1,0,2,68,1,0,2,0,NA,NA,NA,non,0.467,0.345,,,,,,,
60,0,10269,2,1,1,0,2,69,1,0,2,0,NA,100,NA,non,0.436,0.333,,,,,,,
61,0,10332,2,1,1,0,3,32,1,3,2,0,NA,NA,NA,.,0.509,0.41,,,,,,,
62,0,10333,2,1,1,0,3,33,1,3,2,0,NA,NA,NA,.,0.512,0.393,,,,,,,
63,0,10334,2,1,1,0,3,34,1,3,5,0,NA,70,NA,.,0.492,0.352,,,,,,,
64,0,10335,2,1,1,0,3,35,1,3,5,0,NA,NA,NA,.,0.466,0.339,,,,,,,
65,0,10336,2,1,1,0,3,36,1,3,2,0,NA,NA,NA,.,0.494,0.436,,,,,,,
66,0,10337,2,1,1,0,3,37,1,3,5,0,NA,80,NA,.,0.53,0.391,,,,,,,
67,0,10340,2,1,1,0,3,40,2,3,2,0,NA,NA,NA,.,0.511,0.426,,,,,,,
68,0,10341,2,1,1,0,3,41,2,3,2,0,NA,NA,NA,.,0.411,0.469,,,,,,,
69,0,10342,2,1,1,0,3,42,2,3,2,0,NA,70,NA,.,0.506,0.433,,,,,,,
70,0,10343,2,1,1,0,3,43,2,3,2,0,NA,NA,NA,.,0.517,0.43,,,,,,,
71,0,10344,2,1,1,0,3,44,2,3,2,0,NA,NA,NA,.,0.411,0.488,,,,,,,
72,0,10345,2,1,1,0,3,45,2,3,2,0,NA,80,NA,.,0.352,0.499,,,,,,,
73,0,10348,2,1,1,0,3,48,5,3,2,0,NA,NA,NA,.,0.449,0.369,,,,,,,
74,0,10349,2,1,1,0,3,49,5,3,2,0,NA,NA,NA,.,0.407,0.382,,,,,,,
75,0,10350,2,1,1,0,3,50,5,3,2,0,NA,70,NA,.,0.402,0.282,,,,,,,
76,0,10351,2,1,1,0,3,51,5,3,2,0,NA,NA,NA,.,0.431,0.426,,,,,,,
77,0,10352,2,1,1,0,3,52,5,3,10,0,NA,NA,NA,.,0.49,0.513,,,,,,,
78,0,10353,2,1,1,0,3,53,5,3,2,0,NA,40,NA,.,0.488,0.407,,,,,,,
79,0,10356,2,1,1,0,3,56,6,3,5,0,NA,NA,NA,.,0.395,0.254,,,,,,,
80,0,10357,2,1,1,0,3,57,6,3,2,0,NA,NA,NA,.,0.433,0.223,,,,,,,
81,0,10358,2,1,1,0,3,58,6,3,2,0,NA,60,NA,.,0.475,0.465,,,,,,,
82,0,10359,2,1,1,0,3,59,6,3,5,0,NA,NA,NA,.,0.544,0.257,,,,,,,
83,0,10360,2,1,1,0,3,60,6,3,2,0,NA,NA,NA,.,0.544,0.272,,,,,,,
84,0,10361,2,1,1,0,3,61,6,3,2,0,NA,70,NA,.,0.501,0.309,,,,,,,
85,0,10364,2,1,1,0,3,64,7,3,2,0,NA,NA,NA,.,0.627,0.424,,,,,,,
86,0,10365,2,1,1,0,3,65,7,3,2,0,NA,NA,NA,.,0.433,0.481,,,,,,,
87,0,10366,2,1,1,0,3,66,7,3,2,0,NA,40,NA,.,0.612,0.434,,,,,,,
88,0,10367,2,1,1,0,3,67,7,3,2,0,NA,NA,NA,.,0.563,0.457,,,,,,,
89,0,10368,2,1,1,0,3,68,7,3,2,0,NA,NA,NA,.,0.571,0.376,,,,,,,
90,0,10369,2,1,1,0,3,69,7,3,2,0,NA,40,NA,.,0.555,0.391,,,,,,,
91,0,10432,2,1,1,0,4,32,6,1,2,0,NA,NA,NA,.,0.481,0.486,,,,,,,
92,0,10433,2,1,1,0,4,33,6,1,2,0,NA,NA,NA,.,0.442,0.337,,,,,,,
93,0,10434,2,1,1,0,4,34,6,1,10,0,NA,30,NA,.,0.476,0.391,,,,,,,
94,0,10435,2,1,1,0,4,35,6,1,2,0,NA,NA,NA,.,0.435,0.343,,,,,,,
95,0,10436,2,1,1,0,4,36,6,1,2,0,NA,NA,NA,.,0.465,0.403,,,,,,,
96,0,10437,2,1,1,0,4,37,6,1,2,0,NA,50,NA,.,0.556,0.353,,,,,,,
97,0,10440,2,1,1,0,4,40,5,1,2,0,NA,NA,NA,.,0.401,0.488,,,,,,,
98,0,10441,2,1,1,0,4,41,5,1,2,0,NA,NA,NA,.,0.506,0.44,,,,,,,
99,0,10442,2,1,1,0,4,42,5,1,2,0,NA,40,NA,.,0.374,0.298,,,,,,,
100,0,10443,2,1,1,0,4,43,5,1,2,0,NA,NA,NA,.,0.405,0.245,,,,,,,
101,0,10444,2,1,1,0,4,44,5,1,2,0,NA,NA,NA,.,0.329,0.276,,,,,,,
102,0,10445,2,1,1,0,4,45,5,1,2,0,NA,20,NA,.,0.353,0.286,,,,,,,
103,0,10448,2,1,1,0,4,48,7,1,2,0,NA,NA,NA,.,0.467,0.328,,,,,,,
104,0,10449,2,1,1,0,4,49,7,1,2,0,NA,NA,NA,.,0.467,0.388,,,,,,,
105,0,10450,2,1,1,0,4,50,7,1,2,0,NA,40,NA,.,0.509,0.453,,,,,,,
106,0,10451,2,1,1,0,4,51,7,1,2,0,NA,NA,NA,.,0.521,0.512,,,,,,,
107,0,10452,2,1,1,0,4,52,7,1,2,0,NA,NA,NA,.,0.439,0.276,,,,,,,
108,0,10453,2,1,1,0,4,53,7,1,2,0,NA,20,NA,.,0.462,0.358,,,,,,,
109,0,10456,2,1,1,0,4,56,1,1,2,0,NA,NA,NA,.,0.45,0.278,,,,,,,
110,0,10457,2,1,1,0,4,57,1,1,10,0,NA,NA,NA,.,0.424,0.341,,,,,,,
111,0,10458,2,1,1,0,4,58,1,1,2,0,NA,70,NA,.,0.593,0.343,,,,,,,
112,0,10459,2,1,1,0,4,59,1,1,5,0,NA,NA,NA,.,0.542,0.625,,,,,,,
113,0,10460,2,1,1,0,4,60,1,1,2,0,NA,NA,NA,.,0.623,0.348,,,,,,,
114,0,10461,2,1,1,0,4,61,1,1,10,0,NA,80,NA,.,0.617,0.44,,,,,,,
115,0,10464,2,1,1,0,4,64,2,1,2,0,NA,NA,NA,.,0.438,0.345,,,,,,,
116,0,10465,2,1,1,0,4,65,2,1,2,0,NA,NA,NA,.,0.481,0.25,,,,,,,
117,0,10466,2,1,1,0,4,66,2,1,2,0,NA,80,NA,.,0.481,0.325,,,,,,,
118,0,10467,2,1,1,0,4,67,2,1,2,0,NA,NA,NA,.,0.516,0.326,,,,,,,
119,0,10468,2,1,1,0,4,68,2,1,5,0,NA,NA,NA,.,0.436,0.291,,,,,,,
120,0,10469,2,1,1,0,4,69,2,1,2,0,NA,50,NA,.,0.476,0.29,,,,,,,
121,0,10532,2,1,2,0,5,32,5,2,2,0,NA,NA,NA,non,0.456,0.356,,,,,,,
122,0,10533,2,1,2,0,5,33,5,2,2,0,NA,NA,NA,non,0.436,0.322,,,,,,,
123,0,10534,2,1,2,0,5,34,5,2,2,0,NA,60,NA,non,0.471,0.295,,,,,,,
124,0,10535,2,1,2,0,5,35,5,2,2,0,NA,NA,NA,cut,0.432,0.375,,,,,,,
125,0,10536,2,1,2,0,5,36,5,2,2,0,NA,NA,NA,cut,0.508,0.332,,,,,,,
126,0,10537,2,1,2,0,5,37,5,2,2,0,NA,80,NA,cut,0.453,0.301,,,,,,,
127,0,10540,2,1,2,0,5,40,7,2,2,0,NA,NA,NA,cut,0.445,0.239,,,,,,,
128,0,10541,2,1,2,0,5,41,7,2,2,0,NA,NA,NA,cut,0.44,0.391,,,,,,,
129,0,10542,2,1,2,0,5,42,7,2,2,0,NA,40,NA,cut,0.446,0.445,,,,,,,
130,0,10543,2,1,2,0,5,43,7,2,2,0,NA,NA,NA,non,0.456,0.404,,,,,,,
131,0,10544,2,1,2,0,5,44,7,2,2,0,NA,NA,NA,non,0.493,0.272,,,,,,,
132,0,10545,2,1,2,0,5,45,7,2,2,0,NA,60,NA,non,0.512,0.504,,,,,,,
133,0,10548,2,1,2,0,5,48,1,2,2,0,NA,NA,NA,cut,0.652,0.429,,,,,,,
134,0,10549,2,1,2,0,5,49,1,2,2,0,NA,NA,NA,cut,0.546,0.413,,,,,,,
135,0,10550,2,1,2,0,5,50,1,2,2,0,NA,10,NA,cut,0.536,0.507,,,,,,,
136,0,10551,2,1,2,0,5,51,1,2,2,0,NA,NA,NA,non,0.558,0.519,,,,,,,
137,0,10552,2,1,2,0,5,52,1,2,2,0,NA,NA,NA,non,0.511,0.29,,,,,,,
138,0,10553,2,1,2,0,5,53,1,2,2,0,NA,40,NA,non,0.601,0.37,,,,,,,
139,0,10556,2,1,2,0,5,56,2,2,2,0,NA,NA,NA,cut,0.476,0.382,,,,,,,
140,0,10557,2,1,2,0,5,57,2,2,2,0,NA,NA,NA,cut,0.496,0.327,,,,,,,
141,0,10558,2,1,2,0,5,58,2,2,2,0,NA,80,NA,cut,0.358,0.309,,,,,,,
142,0,10559,2,1,2,0,5,59,2,2,2,0,NA,NA,NA,non,0.492,0.329,,,,,,,
143,0,10560,2,1,2,0,5,60,2,2,2,0,NA,NA,NA,non,0.507,0.287,,,,,,,
144,0,10561,2,1,2,0,5,61,2,2,2,0,NA,70,NA,non,0.476,0.294,,,,,,,
145,0,10564,2,1,2,0,5,64,6,2,2,0,NA,NA,NA,non,0.484,0.321,,,,,,,
146,0,10565,2,1,2,0,5,65,6,2,2,0,NA,NA,NA,non,0.506,0.516,,,,,,,
147,0,10566,2,1,2,0,5,66,6,2,5,0,NA,20,NA,non,0.366,0.542,,,,,,,
148,0,10567,2,1,2,0,5,67,6,2,2,0,NA,NA,NA,cut,0.479,0.451,,,,,,,
149,0,10568,2,1,2,0,5,68,6,2,2,0,NA,NA,NA,cut,0.385,0.466,,,,,,,
150,0,10569,2,1,2,0,5,69,6,2,2,0,NA,80,NA,cut,0.442,0.306,,,,,,,
151,0,10632,2,1,2,0,6,32,6,3,2,0,NA,NA,NA,.,0.386,0.346,,,,,,,
152,0,10633,2,1,2,0,6,33,6,3,2,0,NA,NA,NA,.,0.453,0.247,,,,,,,
153,0,10634,2,1,2,0,6,34,6,3,5,0,NA,80,NA,.,0.303,0.209,,,,,,,
154,0,10635,2,1,2,0,6,35,6,3,2,0,NA,NA,NA,.,0.328,0.203,,,,,,,
155,0,10636,2,1,2,0,6,36,6,3,2,0,NA,NA,NA,.,0.466,0.364,,,,,,,
156,0,10637,2,1,2,0,6,37,6,3,2,0,NA,100,NA,.,0.482,0.325,,,,,,,
157,0,10640,2,1,2,0,6,40,1,3,2,0,NA,NA,NA,.,0.596,0.402,,,,,,,
158,0,10641,2,1,2,0,6,41,1,3,2,0,NA,NA,NA,.,0.526,0.428,,,,,,,
159,0,10642,2,1,2,0,6,42,1,3,2,0,NA,90,NA,.,0.544,0.324,,,,,,,
160,0,10643,2,1,2,0,6,43,1,3,2,0,NA,NA,NA,.,0.474,0.272,,,,,,,
161,0,10644,2,1,2,0,6,44,1,3,2,0,NA,NA,NA,.,0.417,0.256,,,,,,,
162,0,10645,2,1,2,0,6,45,1,3,2,0,NA,50,NA,.,0.544,0.415,,,,,,,
163,0,10648,2,1,2,0,6,48,2,3,2,0,NA,NA,NA,.,0.417,0.256,,,,,,,
164,0,10649,2,1,2,0,6,49,2,3,2,0,NA,NA,NA,.,0.408,0.218,,,,,,,
165,0,10650,2,1,2,0,6,50,2,3,2,0,NA,50,NA,.,0.334,0.153,,,,,,,
166,0,10651,2,1,2,0,6,51,2,3,2,0,NA,NA,NA,.,0.493,0.295,,,,,,,
167,0,10652,2,1,2,0,6,52,2,3,2,0,NA,NA,NA,.,0.416,0.289,,,,,,,
168,0,10653,2,1,2,0,6,53,2,3,2,0,NA,20,NA,.,0.527,0.351,,,,,,,
169,0,10656,2,1,2,0,6,56,7,3,2,0,NA,NA,NA,.,0.446,0.266,,,,,,,
170,0,10657,2,1,2,0,6,57,7,3,2,0,NA,NA,NA,.,0.403,0.307,,,,,,,
