year,l.r.t,study,loc,block,border,row,tree,fam,geno,herb,flag,leaf,bud2-16,ht_cm,ht_m,ht_ft,gld_mm,gld_cm,dbh_cm,dbh_in,shoots,SCORE-1,SCORE-2,sur,Mglory,WEED-1,WEED-2,WEED%COVER_1,WEED%COVER_2,WEED-T-1,WEED-T-2,coppice
1,10131,2,1,1,1,1,31,AGHS4,2,2,Yellow,,0,74.3,0.743,2.437783,9.13,0.913,,,,2,1,0,0,,31,80,100,,69,non
1,10132,2,1,1,0,1,32,AGHS4,2,2,Yellow,,0,79.2,0.792,,10.73,1.073,,,,2,2,0,0,,,,,,,non
1,10133,2,1,1,0,1,33,AGHS4,2,2,Yellow,,0,73.5,0.735,,8.64,0.864,,,,2,2,0,0,,,,,,,non
1,10134,2,1,1,0,1,34,AGHS4,2,2,Yellow,,0,73.3,0.733,,9.74,0.974,,,,2,1,0,0,,30,90,100,,53,non
1,10135,2,1,1,0,1,35,AGHS4,2,2,Yellow,,0,99,0.99,,11.03,1.103,,,,2,1,0,0,,,,,,,cut
1,10136,2,1,1,0,1,36,AGHS4,2,2,Yellow,,0,71.4,0.714,,7.85,0.785,,,,2,1,0,0,,,,,,,cut
1,10137,2,1,1,0,1,37,AGHS4,2,2,Yellow,,0,88.7,0.887,,11.44,1.144,,,,2,1,0,0,,33,75,100,,90,cut
1,10138,2,1,1,1,1,38,AGHS4,2,2,Yellow,,0,83.5,0.835,,10.17,1.017,,,,2,1,0,0,,,,,,,cut
1,10139,2,1,1,1,1,39,AGHS8,7,2,White,,0,67,0.67,,9.77,0.977,,,,2,2,0,0,,35,90,100,,64,non
1,10140,2,1,1,0,1,40,AGHS8,7,2,White,,0,99.5,0.995,,13.59,1.359,,,,2,2,0,0,,,,,,,non
1,10141,2,1,1,0,1,41,AGHS8,7,2,White,,0,71.9,0.719,,11.1,1.11,,,,2,2,0,0,,,,,,,non
1,10142,2,1,1,0,1,42,AGHS8,7,2,White,,0,103.6,1.036,,12.71,1.271,,,,2,2,0,0,,45,80,100,,114,non
1,10143,2,1,1,0,1,43,AGHS8,7,2,White,,0,67,0.67,,9.3,0.93,,,,2,2,0,0,,,,,,,cut
1,10144,2,1,1,0,1,44,AGHS8,7,2,White,,2,110.5,1.105,,12.79,1.279,,,,2,2,0,0,,,,,,,cut
1,10145,2,1,1,0,1,45,AGHS8,7,2,White,,0,92.4,0.924,,12.19,1.219,,,,2,2,0,0,,27,95,100,,98,cut
1,10146,2,1,1,1,1,46,AGHS8,7,2,White,,0,62,0.62,,9,0.9,,,,2,2,0,0,,,,,,,cut
1,10147,2,1,1,1,1,47,AGHS3,1,2,Orange,,0,,0,,,0,,,,5,9,1,0,,39,70,100,,76,non
1,10148,2,1,1,0,1,48,AGHS3,1,2,Orange,,2,92.7,0.927,,11.06,1.106,,,,2,2,0,0,,,,,,,non
1,10149,2,1,1,0,1,49,AGHS3,1,2,Orange,,2,71,0.71,,6.75,0.675,,,,4,2,0,0,,,,,,,non
1,10150,2,1,1,0,1,50,AGHS3,1,2,Orange,,2,61,0.61,,9.45,0.945,,,,4,2,0,0,,24,60,100,,83,non
1,10151,2,1,1,0,1,51,AGHS3,1,2,Orange,,0,51,0.51,,7.24,0.724,,,,4,1,0,0,,,,,,,cut
1,10152,2,1,1,0,1,52,AGHS3,1,2,Orange,,0,,0,,,0,,,,2,9,1,0,,,,,,,non
1,10153,2,1,1,0,1,53,AGHS3,1,2,Orange,,1,,0,,,0,,,,2,9,1,0,,29,90,100,,72,non
1,10154,2,1,1,1,1,54,AGHS3,1,2,Orange,,0,69.8,0.698,,7.99,0.799,,,,2,1,0,0,,,,,,,cut
1,10155,2,1,1,1,1,55,AGHS1,6,2,Blue,,3,67.9,0.679,,7.91,0.791,,,,2,2,0,0,,30,95,100,,107,cut
1,10156,2,1,1,0,1,56,AGHS1,6,2,Blue,,3,80,0.8,,9.89,0.989,,,,2,1,0,0,,,,,,,cut
1,10157,2,1,1,0,1,57,AGHS1,6,2,Blue,,3,125,1.25,,12.11,1.211,,,,2,1,0,0,,,,,,,cut
1,10158,2,1,1,0,1,58,AGHS1,6,2,Blue,,2,94,0.94,,11.57,1.157,,,,2,2,0,0,,23,80,100,,83,non
1,10159,2,1,1,0,1,59,AGHS1,6,2,Blue,,3,90.2,0.902,,10.27,1.027,,,,10,2,0,0,,,,,,,non
1,10160,2,1,1,0,1,60,AGHS1,6,2,Blue,,3,71.6,0.716,,7.21,0.721,,,,5,2,0,0,,,,,,,non
1,10161,2,1,1,0,1,61,AGHS1,6,2,Blue,,3,114,1.14,,11.27,1.127,,,,5,2,0,0,,29,95,100,,88,non
1,10162,2,1,1,1,1,62,AGHS1,6,2,Blue,,2,98.1,0.981,,11.21,1.121,,,,2,1,0,0,,,,,,,non
1,10163,2,1,1,1,1,63,AGHS2,5,2,Pink,,0,85.6,0.856,,11.38,1.138,,,,2,2,0,0,,34,80,100,,108,non
1,10164,2,1,1,0,1,64,AGHS2,5,2,Pink,,0,96.4,0.964,,12.1,1.21,,,,2,2,0,0,,,,,,,non
1,10165,2,1,1,0,1,65,AGHS2,5,2,Pink,,0,81.9,0.819,,10.48,1.048,,,,2,2,0,0,,,,,,,non
1,10166,2,1,1,0,1,66,AGHS2,5,2,Pink,,0,72,0.72,,9.47,0.947,,,,2,2,0,0,,36,70,100,,81,non
1,10167,2,1,1,0,1,67,AGHS2,5,2,Pink,,3,82.4,0.824,,9.9,0.99,,,,2,2,0,0,,,,,,,cut
1,10168,2,1,1,0,1,68,AGHS2,5,2,Pink,,1,102,1.02,,13.44,1.344,,,,2,2,0,0,,,,,,,cut
1,10169,2,1,1,0,1,69,AGHS2,5,2,Pink,,2,104.5,1.045,,11.44,1.144,,,,2,2,0,0,,39,100,100,,90,cut
1,10170,2,1,1,1,1,70,AGHS2,5,2,Pink,,1,99,0.99,,11.88,1.188,,,,2,2,0,0,,,,,,,cut
1,10231,2,1,1,1,2,31,AGHS2,5,0,Pink,,1,111,1.11,,10.73,1.073,,,,2,2,0,0,,68,80,100,,100,non
1,10232,2,1,1,0,2,32,AGHS2,5,0,Pink,,1,112,1.12,,9.52,0.952,,,,2,2,0,0,,,,,,,non
1,10233,2,1,1,0,2,33,AGHS2,5,0,Pink,,1,94.6,0.946,,11.24,1.124,,,,2,2,0,0,,,,,,,non
1,10234,2,1,1,0,2,34,AGHS2,5,0,Pink,,0,98.7,0.987,,10.49,1.049,,,,2,2,0,0,,49,70,100,,90,non
1,10235,2,1,1,0,2,35,AGHS2,5,0,Pink,,0,89,0.89,,8.09,0.809,,,,2,2,0,0,,,,,,,cut
1,10236,2,1,1,0,2,36,AGHS2,5,0,Pink,,0,98.4,0.984,,10.24,1.024,,,,2,2,0,0,,,,,,,cut
1,10237,2,1,1,0,2,37,AGHS2,5,0,Pink,,1,115.1,1.151,,13.86,1.386,,,,2,2,0,0,,62,100,100,,150,cut
1,10238,2,1,1,1,2,38,AGHS2,5,0,Pink,,2,105.4,1.054,,10.31,1.031,,,,2,2,0,0,,,,,,,cut
1,10239,2,1,1,1,2,39,AGHS1,6,0,Blue,,2,110.2,1.102,,11.56,1.156,,,,10,2,0,0,,46,100,100,,97,cut
1,10240,2,1,1,0,2,40,AGHS1,6,0,Blue,,1,90.8,0.908,,13.19,1.319,,,,2,2,0,0,,,,,,,cut
1,10241,2,1,1,0,2,41,AGHS1,6,0,Blue,,3,97.4,0.974,,10.59,1.059,,,,2,2,0,0,,,,,,,cut
1,10242,2,1,1,0,2,42,AGHS1,6,0,Blue,,3,108.8,1.088,,10.67,1.067,,,,2,2,0,0,,41,100,100,,165,cut
1,10243,2,1,1,0,2,43,AGHS1,6,0,Blue,,2,95,0.95,,11.32,1.132,,,,2,2,0,0,,,,,,,non
1,10244,2,1,1,0,2,44,AGHS1,6,0,Blue,,2,74.3,0.743,,7.98,0.798,,,,5,2,0,0,,,,,,,non
1,10245,2,1,1,0,2,45,AGHS1,6,0,Blue,,3,96.2,0.962,,10.62,1.062,,,,2,2,0,0,,36,100,100,,89,non
1,10246,2,1,1,1,2,46,AGHS1,6,0,Blue,,3,81.1,0.811,,8.61,0.861,,,,2,2,0,0,,,,,,,non
1,10247,2,1,1,1,2,47,AGHS8,7,0,White,,0,73.1,0.731,,9.06,0.906,,,,2,2,0,0,,48,100,100,,103,cut
1,10248,2,1,1,0,2,48,AGHS8,7,0,White,,0,101,1.01,,14.01,1.401,,,,2,2,0,0,,,,,,,cut
1,10249,2,1,1,0,2,49,AGHS8,7,0,White,,0,101,1.01,,13.02,1.302,,,,2,2,0,0,,,,,,,cut
1,10250,2,1,1,0,2,50,AGHS8,7,0,White,,0,97.5,0.975,,13.45,1.345,,,,2,2,0,0,,46,100,100,,89,cut
1,10251,2,1,1,0,2,51,AGHS8,7,0,White,,0,99,0.99,,12.87,1.287,,,,2,2,0,0,,,,,,,non
1,10252,2,1,1,0,2,52,AGHS8,7,0,White,,0,85.5,0.855,,11.19,1.119,,,,2,2,0,0,,,,,,,non
1,10253,2,1,1,0,2,53,AGHS8,7,0,White,,0,83.3,0.833,,10.82,1.082,,,,2,2,0,0,,43,100,100,,85,non
1,10254,2,1,1,1,2,54,AGHS8,7,0,White,,0,97.6,0.976,,12.05,1.205,,,,2,2,0,0,,,,,,,non
1,10255,2,1,1,1,2,55,AGHS4,2,0,Yellow,,0,93.4,0.934,,10.24,1.024,,,,2,2,0,0,,39,100,100,,98,cut
1,10256,2,1,1,0,2,56,AGHS4,2,0,Yellow,,0,101.7,1.017,,12.4,1.24,,,,2,2,0,0,,,,,,,cut
1,10257,2,1,1,0,2,57,AGHS4,2,0,Yellow,,0,116.2,1.162,,11.29,1.129,,,,2,1,0,0,,,,,,,cut
1,10258,2,1,1,0,2,58,AGHS4,2,0,Yellow,,1,98.6,0.986,,9.88,0.988,,,,2,2,0,0,,42,100,100,,164,cut
1,10259,2,1,1,0,2,59,AGHS4,2,0,Yellow,,0,124,1.24,,12.46,1.246,,,,2,2,0,0,,,,,,,non
1,10260,2,1,1,0,2,60,AGHS4,2,0,Yellow,,0,121.4,1.214,,14.99,1.499,,,,2,2,0,0,,,,,,,non
1,10261,2,1,1,0,2,61,AGHS4,2,0,Yellow,,0,121.8,1.218,,12.59,1.259,,,,2,2,0,0,,29,100,100,,71,non
1,10262,2,1,1,1,2,62,AGHS4,2,0,Yellow,,0,99.8,0.998,,10.99,1.099,,,,2,2,0,0,,,,,,,cut
1,10263,2,1,1,1,2,63,AGHS3,1,0,Orange,,0,111.3,1.113,,12.54,1.254,,,,2,2,0,0,,29,100,100,,168,cut
